"Title	Agency	Funding_Amount	Application_Due_Date	Match_Required	Match_Amount	Solicitation_Number	Listing_URL	OpenGrants_URL",,,,,
"IIJA Bureau of Land Management Colorado Rangeland Resource Management	Bureau of Land Management	200000	05/22/2023 00:00:00	False		L23AS00296	https://www.grants.gov/web/grants/view-opportunity.html?oppId=347036	https://portal.opengrants.io/grants/1909504",,,,,
"Centers of Research Excellence in Science and Technology HBCU Research Infrastructure for Science and Engineering	National Science Foundation	6000000	05/30/2023 00:00:00	False		23-565	http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf23565	https://portal.opengrants.io/grants/1909505",,,,,
"Ocean Technology and Interdisciplinary Coordination	National Science Foundation		02/15/2024 00:00:00	False		PD-98-1680	http://www.nsf.gov/funding/pgm_summ.jsp?pims_id=12724	https://portal.opengrants.io/grants/1872205",,,,,
"Research on Bioethical Issues Related to Bionic and Robotic Device Development and Translation (R21 Clinical Trial Optional)	National Institutes of Health		10/02/2023 00:00:00	False		RFA-EB-23-001	http://grants.nih.gov/grants/guide/rfa-files/RFA-EB-23-001.html	https://portal.opengrants.io/grants/1908458",,,,,
"ARMY APPLICATIONS LAB BROAD AGENCY ANNOUNCEMENT FOR DISRUPTIVE APPLICATIONS	Dept of the Army -- Materiel Command		05/01/2024 00:00:00	False		W911NF-19-S-0004	https://aal.army	https://portal.opengrants.io/grants/1737458",,,,,
DoD Breast Cancer," Breakthrough Award Level 4	Dept. of the Army -- USAMRAA	23300000	06/28/2023 00:00:00	False		HT9425-23-BCRP-BTA4	https://www.grants.gov/web/grants/view-opportunity.html?oppId=345807	https://portal.opengrants.io/grants/1908511",,,,
"Council-Selected Restoration Component 2020 Funded Priorities List 3a	Gulf Coast Ecosystem Restoration Council	26880000	06/30/2025 00:00:00	False		GCC-FPL-20-001	https://www.grantsolutions.gov/gs/preaward/previewPublicAnnouncement.do?id=65492	https://portal.opengrants.io/grants/1737820",,,,,
MOMENTUM (Moving Integrated, Quality Maternal, Newborn, and Child Health Services, Voluntary Family Planning," and Reproductive Health Care [MNCH/FP/RH] to Scale)	Agency for International Development		09/30/2025 00:00:00	True		7200AA19APS00002	https://www.grants.gov/web/grants/view-opportunity.html?oppId=315120	https://portal.opengrants.io/grants/1737479"
"Implementation Science for Strengthening Family Health (IS4FH)	Agency for International Development		05/30/2029 00:00:00	True		7200AA19APS00014	https://www.grants.gov/web/grants/view-opportunity.html?oppId=316633	https://portal.opengrants.io/grants/1737499",,,,,
"Accelerating Research Translation	National Science Foundation	60000000	05/23/2023 00:00:00	False		23-558	http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf23558	https://portal.opengrants.io/grants/1908541",,,,,
"Bipartisan Infrastructure Law Advanced Energy Manufacturing and Recycling Grant Program Section 40209	National Energy Technology Laboratory	350000000	06/08/2023 00:00:00	True		DE-FOA-0002907	https://oced-exchange.energy.gov/	https://portal.opengrants.io/grants/1908659",,,,,
"U.S. Embassy Khartoum PDS Annual Program Statement	U.S. Mission to Sudan		05/31/2023 00:00:00	False		PAS-KHARTOUM-FY23-01	https://sd.edit.usembassy.gov/wp-content/uploads/sites/257/Khartoum-FY23-APS-NOFO-Final.pdf	https://portal.opengrants.io/grants/1909722",,,,,
"FY 2023 Energizing Insular Communities Program	Department of the Interior	15500000	06/15/2023 00:00:00	False		OIAOIA-EIC2300317	https://www.grants.gov/web/grants/view-opportunity.html?oppId=347139	https://portal.opengrants.io/grants/1909723",,,,,
DOD, Spinal Cord Injury," Clinical Trial Award	Dept. of the Army -- USAMRAA	14560000	09/07/2023 00:00:00	False		HT9425-23-SCIRP-CTA	https://www.grants.gov/web/grants/view-opportunity.html?oppId=347233	https://portal.opengrants.io/grants/1909769",,,
"Somalia Counter-VBIED Mobile Vehicle Check Point Program	""Bureau of Counterterrorism ""		05/29/2023 00:00:00	False		SFOP0009615	https://mygrants.servicenowservices.com/grants?id=grants_funding_opportunity&amp;table=u_domestic_funding_opportunity&amp;sys_id=17e23c5b1b756950734243f1f54bcb3c&amp;view=Default	https://portal.opengrants.io/grants/1909771",,,,,
"Staff Research Program	Dept of the Army -- Materiel Command		02/19/2025 00:00:00	False		W911NF20S0003	https://www.grants.gov/web/grants/view-opportunity.html?oppId=324439	https://portal.opengrants.io/grants/1737856",,,,,
PEPFAR Small Grants Program,"  Community-Led Monitoring 2024	U.S. Mission to Lesotho		05/26/2023 00:00:00	False		DOS-MSU-PEPFARCLM-FY24	https://www.grants.gov/web/grants/view-opportunity.html?oppId=346410	https://portal.opengrants.io/grants/1909048",,,,
"Pilot Interventions to Integrate Social Care and Medical Care to Improve Health Equity (R01 Clinical Trial Required)	National Institutes of Health		10/19/2023 00:00:00	False		RFA-DK-22-038	http://grants.nih.gov/grants/guide/rfa-files/RFA-DK-22-038.html	https://portal.opengrants.io/grants/1908663",,,,,
Knowledge SUCCESS (Strengthening Use, Capacity, Collaboration, Exchange, Synthesis," and Sharing) APS	Agency for International Development	35000000	06/18/2028 00:00:00	True		7200AA18APS00004	https://www.grants.gov/web/grants/view-opportunity.html?oppId=306385	https://portal.opengrants.io/grants/1737192"
DOD Peer Reviewed Orthopaedic," Clinical Translational Research Award	Dept. of the Army -- USAMRAA	6000000	09/13/2023 00:00:00	False		HT9425-23-PRORP-CTRA	https://www.grants.gov/web/grants/view-opportunity.html?oppId=347616	https://portal.opengrants.io/grants/1910131",,,,
Renewal-Native American Tribes Outreach, Education," and Training to Enhance Food Safety and FSMA Compliance (U01) Clinical Trial Not Allowed	Food and Drug Administration	500000	06/20/2023 00:00:00	False		RFA-FD-23-032	https://grants.nih.gov/grants/guide/rfa-files/RFA-FD-23-032.html	https://portal.opengrants.io/grants/1910132",,,
"F24AS00008 - NAWCA 2024-2 US Standard Grants	Fish and Wildlife Service	50000000	07/07/2023 00:00:00	True		F24AS00008	https://www.grants.gov/web/grants/view-opportunity.html?oppId=347618	https://portal.opengrants.io/grants/1910133",,,,,
"ROUND 10 - LOCAL SOLUTIONS TO HEALTH PRIORITIES IN INDONESIA	Indonesia USAID-Jakarta	25000000	05/24/2023 00:00:00	False		7200AA19APS00013-10	https://www.grants.gov/web/grants/view-opportunity.html?oppId=318376	https://portal.opengrants.io/grants/1910134",,,,,
"USAID Stop Gender Based Violence Now (USAID Stop GBV Now)	Zambia USAID-Lusaka		05/25/2023 00:00:00	False		72061123RFA00002	https://www.grants.gov/web/grants/view-opportunity.html?oppId=347608	https://portal.opengrants.io/grants/1910135",,,,,
"U.S. Embassy Kampala Public Diplomacy Annual Program Statement	U.S. Mission to Uganda	200000	06/15/2023 00:00:00	False		DOS-PAS-FY23-01	https://www.grants.gov/web/grants/view-opportunity.html?oppId=346121	https://portal.opengrants.io/grants/1908776",,,,,
DOD Lung Cancer," Idea Development Award	Dept. of the Army -- USAMRAA	8400000	08/03/2023 00:00:00	False		HT9425-23-LCRP-IDA	https://www.grants.gov/web/grants/view-opportunity.html?oppId=346189	https://portal.opengrants.io/grants/1908837",,,,
"U.S. Embassy Gaborone PD Annual Program Statement	U.S. Mission to Botswana	250000	08/31/2023 00:00:00	False		DOS-PDS-AF-FY23	https://www.grants.gov/web/grants/view-opportunity.html?oppId=346279	https://portal.opengrants.io/grants/1908913",,,,,
"Innovative Health Practices	Agency for International Development		02/20/2028 00:00:00	False		BAA-GH-OAA-2023	https://www.grants.gov/web/grants/view-opportunity.html?oppId=346254	https://portal.opengrants.io/grants/1908914",,,,,
"CyberCorps(R) Scholarship for Service	National Science Foundation	20000000	07/17/2023 00:00:00	False		23-574	http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf23574	https://portal.opengrants.io/grants/1901240",,,,,
"Social Psychology	National Science Foundation		07/17/2023 00:00:00	False		PD-22-1332	http://www.nsf.gov/funding/pgm_summ.jsp?pims_id=5712	https://portal.opengrants.io/grants/1905441",,,,,
"Genomics Centers for Infectious Diseases (U19 Clinical Trial Not Allowed)	National Institutes of Health		06/02/2023 00:00:00	False		RFA-AI-23-015	http://grants.nih.gov/grants/guide/rfa-files/RFA-AI-23-015.html	https://portal.opengrants.io/grants/1908969",,,,,
"Disaster Assistance for State Units on Aging (SUAs) and Tribal Organizations in Major Disasters Declared by the President	Administration for Community Living	8480000	09/05/2023 00:00:00	False		HHS-2023-ACL-AOA-DASG-0002	https://acl.gov/grants/open-opportunities	https://portal.opengrants.io/grants/1903318",,,,,
