"about","category","emoji","icon","language_model","additional info","order"
"Demonstrate that your work aligns with a donor's core beliefs and they will see you as an ally worth supporting. Write an appeal focused on a core belief that both your organization and the donor might share.","Appeals","✉️","","gpt4-8k","",""
"The December 31st email serves as an engaging call to action, urging donors to make their year-end contributions prior to the close of the calendar year. To enhance its effectiveness, consider incorporating countdown timers and progress bars to instill a sense of urgency. Additionally, boost donor motivation by offering incentives such as matching gift opportunities or exciting challenges that inspire them to participate.","Appeals","⏰","","gpt4-8k","This model presents a direct and concise call-to-action for donors, ideally delivered both in the morning and evening on December 31st.

Highlight your most generous incentives, such as matching gifts or challenges, and incorporate motivational elements like countdown clocks and progress bars to display the achievement of milestones, such as reaching 50% of your goal. Enhance credibility by showcasing social proof through donor testimonials and impactful stories that illustrate the reasons behind previous donations.",""
"Personal impact stories humanize non-profit causes and illustrate tangible outcomes, fostering a deeper connection with donors. By evoking emotions, building trust, and strengthening donor relationships, these stories inspire action and encourage long-term commitment to the organization's mission.","Appeals","✉️","","gpt4-8k","[list]
[*] [u]Humanize the cause:[/u] Impact stories bring the organization's mission to life by showcasing real people and their experiences. They help donors relate to the cause on a personal and emotional level, fostering a deeper connection.
[*] [u]Illustrate the impact:[/u] Personal stories provide tangible examples of how donations are used and demonstrate the positive outcomes that result from the organization's work. This helps donors understand the difference their contributions can make.
[*] [u]Build trust and credibility:[/u] By sharing authentic stories of those impacted by the organization's efforts, non-profits establish trust and credibility with potential donors, assuring them that their donations are being put to good use.
[*] [u]Inspire action:[/u] Personal impact stories evoke emotions and inspire empathy, which can motivate potential donors to contribute and support the non-profit's mission.
[*] [u]Strengthen donor relationships:[/u] Sharing impact stories keeps donors engaged and informed about the organization's progress, reinforcing their decision to support the cause and encouraging long-term commitment.
[/list]",""
"An 'It Takes a Village' story emphasizes the collective effort required for success and showcases the broader community impact. By inspiring a sense of belonging and appealing to social responsibility, this narrative encourages continued support and  donor commitment to the cause.","Appeals","✉️","","gpt4-8k","[list]
[*] [u]Emphasize collective effort:[/u] This type of story highlights the combined efforts of donors, volunteers, and the organization itself, demonstrating that success is achieved through collaboration and teamwork.
[*] [u]Showcase community impact:[/u] By featuring stories of how the non-profit's work affects the wider community, donors can see the broader, positive consequences of their contributions.
[*] [u]Inspire a sense of belonging:[/u] These stories foster a sense of unity and belonging among donors, as they recognize their role as part of a larger collective working towards a common goal.
[*] [u]Encourage continued support:[/u] When donors see the collective impact of their contributions, they are more likely to continue supporting the organization, knowing that their involvement is making a difference.
[*] [u]Appeal to social responsibility:[/u] 'It Takes a Village' stories tap into the innate human desire to contribute to the greater good and help others, making potential donors more inclined to donate and support the cause.
[/list]",""
"An appeal on behalf of a research organization should aim to demonstrate the need for funding, establish credibility, and share progress for a research program or organization such as a lab, a center, or an institute. By educating and informing donors about the importance of a given research program and the promise it offers the future, this approach effectively engages targeted donors interested in evidence-based outcomes that address pressing issues.","Appeals","✉️","","gpt4-8k","The purpose of a research-centered appeal is to:
[list]
[*] [u]Demonstrate the need for funding:[/u] By highlighting ongoing or planned research projects, organizations can show donors the importance of financial support to advance their work and achieve desired outcomes.
[*] [u]Establish credibility:[/u] Showcasing research efforts and their alignment with the organization's mission reinforces the research organization's expertise and commitment.
[*] [u]Share progress and breakthroughs:[/u] A research-centered appeal can update donors on significant discoveries or advancements, which can inspire further support and demonstrate the impact of their contributions.
[*] [u]Educate and inform:[/u] Presenting research findings helps donors better understand the cause, the challenges involved, and the potential solutions, making them more invested in the organization's work.
[*] [u]Attract targeted donors:[/u] Research-focused appeals can be particularly effective in engaging donors with specific interests in the organization's field or those who value evidence-based solutions to pressing issues.
[/list]",""
"Rewrite a general appeal to re-engage previous donors and encourage their renewed financial support.","Appeals","🧑‍🤝‍🧑","","gpt4-8k","Focus on re-engaging individuals who have previously supported your cause but have not contributed in the past 1-2 years. 

In your appeal, emphasize gratitude for their earlier involvement and remind them of the reasons that initially inspired their support, whether monetary or through volunteering.

Present the achievements made possible by their previous donations and outline the organization's objectives for the upcoming year. Offer alternative ways to contribute, such as volunteer opportunities, allowing those who may not be able to donate money to remain involved. Craft your message with a concise and genuine tone. By effectively illustrating the tangible impact of each contribution, you can encourage a renewed commitment to your cause.",""
"Rewrite a general appeal to engage non-donors and encourage their first-time financial support.","Appeals","🧑‍🤝‍🧑","","gpt4-8k","Non-donors often respond favorably to optimistic messaging and a gentle request, combined with information about your organization's work.

Craft a warm and persuasive appeal that encourages first-time donations from non-donors, emphasizing the positive impact their gift will create, rather than focusing on your organization's needs. Introduce potential donors to the remarkable work your organization does, explain the value of their contribution, and offer smaller donation options to ease their entry into charitable giving.",""
"Rewrite a general appeal to thank repeat donors and ask for theif continued support.","Appeals","🧑‍🤝‍🧑","","gpt4-8k","This approach is tailored for individuals who have consistently donated over time – your most loyal supporters.

These donors are committed to your organization's mission, so consider sending personalized emails from an individual's account rather than mass emails through a platform, or create the appearance of personalization.

Enhance these appeals with stories or examples demonstrating how their support contributes to meaningful change within the organization.Since these dedicated supporters are already engaged and familiar with your work, it's acceptable to be direct with your requests. Expressing gratitude for their ongoing support not only demonstrates appreciation but also encourages continued generosity.",""
"Rewrite a general appeal to thank returning donors from previous campaigns while encouraging them to give again.","Appeals","🧑‍🤝‍🧑","","gpt4-8k","This approach is aimed at individuals who have previously donated but haven't contributed this year. Express gratitude for their past donations and mention the specific projects or programs their support enabled.

Inform potential donors about the actual achievements resulting from their giving last year and the progress made toward reaching your goals. Present various donation levels and clarify the impact each gift can create.

Emphasizing the significance of even modest contributions helps maintain engagement.

Incorporating diverse calls-to-action on multiple donation buttons can further enhance click rates and drive support.",""
"Rewrite a general appeal to thank small and new donors for their past donations, while encouraging them to give further. ","Appeals","🧑‍🤝‍🧑","","gpt4-8k","This approach targets individuals who have previously donated but haven't yet become your ""all-star"" donors.

Begin the appeal by expressing appreciation for their past donations, which will make them feel valued and more inclined to donate again. Encourage increased generosity by suggesting slightly higher contribution amounts than their previous gifts.

Emphasize the impact of each donation and its contribution towards achieving campaign goals, demonstrating that even small amounts can bring about significant change. Additionally, highlight programs or items that can be funded by modest donations, allowing them to visualize the direct impact of their gifts, fostering satisfaction and engagement among donors.",""
